Town Code,Town,Year,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
134,Stafford,2013,5124,178,11,198,0,387,7.55
135,Stamford,2013,50573,4863,1631,326,1295,8115,16.05
136,Sterling,2013,1511,0,1,61,0,62,4.10
137,Stonington,2013,9467,296,17,66,0,379,4.00
138,Stratford,2013,21091,524,375,278,33,1210,5.74
139,Suffield,2013,5469,212,0,70,15,297,5.43
140,Thomaston,2013,3276,105,4,117,0,226,6.90
141,Thompson,2013,4171,151,13,159,0,323,7.74
142,Tolland,2013,5451,97,1,110,3,211,3.87
143,Torrington,2013,16761,1112,355,639,17,2123,12.67
144,Trumbull,2013,13157,315,12,36,314,677,5.15
145,Union,2013,388,0,0,16,0,16,4.12
146,Vernon,2013,13896,1387,533,374,12,2306,16.59
147,Voluntown,2013,1127,20,2,31,0,53,4.70
148,Wallingford,2013,18945,482,140,310,35,967,5.10
149,Warren,2013,811,0,0,8,0,8,0.99
150,Washington,2013,2124,14,0,1,23,38,1.79
151,Waterbury,2013,47991,4901,3635,2327,326,11189,23.31
152,Waterford,2013,8634,123,17,250,0,390,4.52
153,Watertown,2013,9096,206,24,145,0,375,4.12
155,West Hartford,2013,26396,590,943,316,287,2136,8.09
156,West Haven,2013,22446,1024,1613,429,0,3066,13.66
154,Westbrook,2013,3937,140,8,15,24,187,4.75
157,Weston,2013,3674,0,1,0,0,1,0.03
158,Westport,2013,10399,245,20,2,19,286,2.75
159,Wethersfield,2013,11677,625,127,231,0,983,8.42
160,Willington,2013,2637,160,2,50,0,212,8.04
161,Wilton,2013,6475,135,5,7,100,247,3.81
162,Winchester,2013,5613,316,269,150,0,735,13.09
163,Windham,2013,9570,1752,533,490,0,2775,29.00
164,Windsor,2013,11767,154,282,399,26,861,7.32
165,Windsor Locks,2013,5429,137,178,187,0,502,9.25
166,Wolcott,2013,6276,312,3,131,0,446,7.11
167,Woodbridge,2013,3478,30,3,6,0,39,1.12
168,Woodbury,2013,4564,60,4,25,0,89,1.95
169,Woodstock,2013,3582,24,3,87,0,114,3.18
1,Andover,2012,1317,24,1,22,0,47,3.57
2,Ansonia,2012,8148,372,699,106,9,1186,14.56
3,Ashford,2012,1903,32,2,37,0,71,3.73
4,Avon,2012,7389,240,7,23,0,270,3.65
5,Barkhamsted,2012,1589,0,1,12,0,13,0.82
6,Beacon Falls,2012,2509,0,5,26,0,31,1.24
7,Berlin,2012,8140,468,29,82,6,585,7.19
8,Bethany,2012,2044,0,0,1,1,2,0.10
9,Bethel,2012,7310,250,10,57,63,380,5.20
10,Bethlehem,2012,1575,24,1,0,0,25,1.59
11,Bloomfield,2012,9019,584,147,295,0,1026,11.38
12,Bolton,2012,2015,0,3,16,0,19,0.94
13,Bozrah,2012,1059,0,4,19,0,23,2.17
14,Branford,2012,13972,232,50,174,0,456,3.26
15,Bridgeport,2012,57012,5604,3498,964,20,10086,17.69
16,Bridgewater,2012,881,0,0,2,0,2,0.23
17,Bristol,2012,27011,1771,793,1014,0,3578,13.25
18,Brookfield,2012,6562,35,7,42,55,139,2.12
19,Brooklyn,2012,3235,233,11,80,0,324,10.02
20,Burlington,2012,3389,28,0,29,0,57,1.68
21,Canaan,2012,779,25,0,9,1,35,4.49
22,Canterbury,2012,2043,76,1,40,0,117,5.73
23,Canton,2012,4339,211,19,55,32,317,7.31
24,Chaplin,2012,988,0,0,24,0,24,2.43
25,Cheshire,2012,10424,237,7,70,17,331,3.18
26,Chester,2012,1923,23,2,10,0,35,1.82
27,Clinton,2012,6065,84,5,43,0,132,2.18
28,Colchester,2012,6182,364,31,93,0,488,7.89
29,Colebrook,2012,722,0,0,7,1,8,1.11
30,Columbia,2012,2308,24,2,43,0,69,2.99
31,Cornwall,2012,1007,18,0,2,0,20,1.99
32,Coventry,2012,5099,104,1,136,20,261,5.12
33,Cromwell,2012,6001,212,6,199,0,417,6.95
34,Danbury,2012,31154,1586,1181,315,192,3274,10.51
35,Darien,2012,7074,83,6,1,93,183,2.59
36,Deep River,2012,2096,26,5,23,0,54,2.58
37,Derby,2012,5849,259,307,63,0,629,10.75
38,Durham,2012,2694,33,1,13,0,47,1.74
40,East Granby,2012,2152,72,4,32,0,108,5.02
41,East Haddam,2012,4508,73,0,30,1,104,2.31
42,East Hampton,2012,5485,70,5,76,25,176,3.21
43,East Hartford,2012,21328,1577,1024,908,0,3509,16.45
44,East Haven,2012,12533,421,128,294,0,843,6.73
45,East Lyme,2012,8458,342,8,80,19,449,5.31
47,East Windsor,2012,5045,558,49,100,14,721,14.29
39,Eastford,2012,793,0,0,19,0,19,2.40
46,Easton,2012,2715,0,0,0,11,11,0.41
48,Ellington,2012,6665,260,8,83,0,351,5.27
49,Enfield,2012,17558,1340,215,546,7,2108,12.01
50,Essex,2012,3261,36,6,9,0,51,1.56
51,Fairfield,2012,21648,241,181,29,116,567,2.62
52,Farmington,2012,11106,456,110,117,155,838,7.55
53,Franklin,2012,771,0,1,16,0,17,2.20
54,Glastonbury,2012,13656,582,47,122,2,753,5.51
55,Goshen,2012,1664,1,0,5,0,6,0.36
56,Granby,2012,4360,85,2,42,5,134,3.07
57,Greenwich,2012,25631,837,421,2,54,1314,5.13
58,Griswold,2012,5118,136,41,159,0,336,6.57
59,Groton,2012,17978,3267,52,337,10,3666,20.39
60,Guilford,2012,9596,168,6,29,0,203,2.12
61,Haddam,2012,3504,22,1,15,0,38,1.08
62,Hamden,2012,25114,684,523,448,4,1659,6.61
63,Hampton,2012,793,0,0,18,0,18,2.27
64,Hartford,2012,51822,9415,8390,1440,0,19245,37.14
65,Hartland,2012,856,2,0,6,0,8,0.93
66,Harwinton,2012,2282,23,0,25,0,48,2.10
67,Hebron,2012,3567,59,3,36,0,98,2.75
68,Kent,2012,1665,48,0,4,0,52,3.12
69,Killingly,2012,7592,530,120,309,0,959,12.63
70,Killingworth,2012,2598,0,2,5,5,12,0.46
71,Lebanon,2012,3125,26,4,56,0,86,2.75
72,Ledyard,2012,5987,32,6,168,0,206,3.44
73,Lisbon,2012,1730,2,0,43,0,45,2.60
74,Litchfield,2012,3975,140,1,12,29,182,4.58
75,Lyme,2012,1223,0,0,2,8,10,0.82
76,Madison,2012,8049,90,1,8,29,128,1.59
77,Manchester,2012,25996,1813,1074,884,36,3807,14.64
78,Mansfield,2012,6017,417,153,86,2,658,10.94
79,Marlborough,2012,2389,24,0,20,0,44,1.84
80,Meriden,2012,25892,1769,1008,1022,11,3810,14.71
81,Middlebury,2012,2892,76,4,12,8,100,3.46
82,Middlefield,2012,1863,30,1,10,1,42,2.25
83,Middletown,2012,21223,2814,987,590,25,4416,20.81
84,Milford,2012,23074,822,277,212,85,1396,6.05
85,Monroe,2012,6918,35,1,19,1,56,0.81
86,Montville,2012,7407,81,30,201,0,312,4.21
87,Morris,2012,1314,20,2,0,0,22,1.67
88,Naugatuck,2012,13061,492,293,301,0,1086,8.31
89,New Britain,2012,31226,3183,1627,1153,382,6345,20.32
90,New Canaan,2012,7551,140,10,2,31,183,2.42
91,New Fairfield,2012,5593,0,0,25,13,38,0.68
92,New Hartford,2012,2923,12,1,38,15,66,2.26
93,New Haven,2012,54967,8210,6138,1127,545,16020,29.14
95,New London,2012,11840,1672,144,457,83,2356,19.90
96,New Milford,2012,11731,233,259,123,16,631,5.38
94,Newington,2012,13011,426,105,366,36,933,7.17
97,Newtown,2012,10061,134,2,23,15,174,1.73
98,Norfolk,2012,967,28,0,3,0,31,3.21
99,North Branford,2012,5629,62,7,55,0,124,2.20
100,North Canaan,2012,1587,101,0,7,0,108,6.81
101,North Haven,2012,9491,343,28,74,1,446,4.70
102,North Stonington,2012,2306,0,1,21,0,22,0.95
103,Norwalk,2012,35415,2248,947,238,616,4049,11.43
104,Norwich,2012,18659,1906,728,518,0,3152,16.89
105,Old Lyme,2012,5021,60,1,7,3,71,1.41
106,Old Saybrook,2012,5602,50,5,16,1,72,1.29
107,Orange,2012,5345,46,4,9,0,59,1.10
108,Oxford,2012,4746,36,1,8,0,45,0.95
109,Plainfield,2012,6229,378,224,296,0,898,14.42
110,Plainville,2012,8063,223,25,302,21,571,7.08
111,Plymouth,2012,5109,179,5,152,0,336,6.58
112,Pomfret,2012,1684,32,2,17,0,51,3.03
113,Portland,2012,4077,185,92,51,0,328,8.05
114,Preston,2012,2019,40,4,36,0,80,3.96
115,Prospect,2012,3474,0,4,25,0,29,0.83
116,Putnam,2012,4299,383,73,133,0,589,13.70
117,Redding,2012,3811,0,0,0,0,0,0.00
118,Ridgefield,2012,9420,179,0,8,33,220,2.34
119,Rocky Hill,2012,8843,236,29,173,0,438,4.95
120,Roxbury,2012,1167,19,0,1,0,20,1.71
121,Salem,2012,1635,1,0,28,0,29,1.77
122,Salisbury,2012,2593,16,1,5,10,32,1.23
123,Scotland,2012,680,0,0,11,0,11,1.62
124,Seymour,2012,6968,262,16,89,0,367,5.27
125,Sharon,2012,1775,20,0,4,0,24,1.35
126,Shelton,2012,16146,254,21,83,82,440,2.73
127,Sherman,2012,1831,0,1,1,0,2,0.11
128,Simsbury,2012,9123,241,11,58,0,310,3.40
129,Somers,2012,3479,54,7,18,0,79,2.27
132,South Windsor,2012,10243,427,54,235,0,716,6.99
130,Southbury,2012,9091,89,2,14,0,105,1.15
131,Southington,2012,17447,609,42,281,51,983,5.63
133,Sprague,2012,1248,20,9,31,0,60,4.81
134,Stafford,2012,5124,178,11,160,0,349,6.81
135,Stamford,2012,50573,4618,1605,309,1295,7827,15.48
136,Sterling,2012,1511,0,1,35,0,36,2.38
137,Stonington,2012,9467,296,17,52,0,365,3.86
138,Stratford,2012,21091,524,375,259,33,1191,5.65
139,Suffield,2012,5469,212,0,52,15,279,5.10
140,Thomaston,2012,3276,105,4,91,0,200,6.11
141,Thompson,2012,4171,150,13,83,0,246,5.90
142,Tolland,2012,5451,97,1,79,3,180,3.30
143,Torrington,2012,16761,1082,297,611,17,2007,11.97
144,Trumbull,2012,13157,315,12,35,314,676,5.14
145,Union,2012,388,0,0,9,0,9,2.32
146,Vernon,2012,13896,1386,533,352,12,2283,16.43
147,Voluntown,2012,1127,20,2,23,0,45,3.99
148,Wallingford,2012,18945,482,140,298,35,955,5.04
149,Warren,2012,811,0,0,4,0,4,0.49
150,Washington,2012,2124,14,0,0,23,37,1.74
151,Waterbury,2012,47991,4870,3149,2256,326,10601,22.09
152,Waterford,2012,8634,123,17,208,0,348,4.03
153,Watertown,2012,9096,206,24,134,0,364,4.00
155,West Hartford,2012,26396,541,943,304,287,2075,7.86
156,West Haven,2012,22446,1024,1503,415,0,2942,13.11
154,Westbrook,2012,3937,140,8,13,24,185,4.70
157,Weston,2012,3674,0,1,0,0,1,0.03
158,Westport,2012,10399,245,20,2,15,282,2.71
159,Wethersfield,2012,11677,625,127,216,0,968,8.29
160,Willington,2012,2637,160,2,37,0,199,7.55
161,Wilton,2012,6475,84,5,7,140,236,3.64
162,Winchester,2012,5613,316,269,122,0,707,12.60
163,Windham,2012,9570,1692,436,448,0,2576,26.92
164,Windsor,2012,11767,154,282,379,26,841,7.15
165,Windsor Locks,2012,5429,137,178,182,0,497,9.15
166,Wolcott,2012,6276,312,3,121,0,436,6.95
167,Woodbridge,2012,3478,30,3,6,0,39,1.12
168,Woodbury,2012,4564,60,4,19,0,83,1.82
169,Woodstock,2012,3582,24,3,52,0,79,2.21
1,Andover,2011,1317,24,1,20,0,45,3.42
2,Ansonia,2011,8148,372,699,106,9,1186,14.56
3,Ashford,2011,1903,32,1,35,0,68,3.57
4,Avon,2011,7389,240,5,21,0,266,3.60
5,Barkhamsted,2011,1589,0,3,11,0,14,0.88
6,Beacon Falls,2011,2509,0,6,25,0,31,1.24
7,Berlin,2011,8140,468,30,82,6,586,7.20
8,Bethany,2011,2044,0,0,1,0,1,0.05
9,Bethel,2011,7310,250,9,57,63,379,5.18
10,Bethlehem,2011,1575,24,0,0,0,24,1.52
11,Bloomfield,2011,9019,584,147,295,0,1026,11.38
12,Bolton,2011,2015,0,3,15,0,18,0.89
13,Bozrah,2011,1059,0,4,16,0,20,1.89
14,Branford,2011,13972,232,46,174,0,452,3.24
15,Bridgeport,2011,57012,5604,3724,964,15,10307,18.08
16,Bridgewater,2011,881,0,0,2,0,2,0.23
17,Bristol,2011,27011,1771,791,1014,0,3576,13.24
18,Brookfield,2011,6562,35,6,38,52,131,2.00
19,Brooklyn,2011,3235,233,9,63,0,305,9.43
20,Burlington,2011,3389,28,0,25,0,53,1.56
21,Canaan,2011,779,25,0,9,1,35,4.49
22,Canterbury,2011,2043,76,1,31,0,108,5.29
23,Canton,2011,4339,211,20,52,32,315,7.26
24,Chaplin,2011,988,0,1,23,0,24,2.43
25,Cheshire,2011,10424,237,5,70,17,329,3.16
26,Chester,2011,1923,23,2,9,0,34,1.77
27,Clinton,2011,6065,84,5,42,0,131,2.16
28,Colchester,2011,6182,364,26,84,0,474,7.67
29,Colebrook,2011,722,0,0,7,1,8,1.11
30,Columbia,2011,2308,24,4,37,0,65,2.82
31,Cornwall,2011,1007,18,0,0,0,18,1.79
32,Coventry,2011,5099,104,5,116,20,245,4.80
33,Cromwell,2011,6001,212,6,199,0,417,6.95
34,Danbury,2011,31154,1586,952,315,273,3126,10.03
35,Darien,2011,7074,83,8,1,93,185,2.62
36,Deep River,2011,2096,26,4,22,0,52,2.48
37,Derby,2011,5849,259,305,63,0,627,10.72
38,Durham,2011,2694,33,1,11,0,45,1.67
40,East Granby,2011,2152,72,1,30,0,103,4.79
41,East Haddam,2011,4508,73,3,27,1,104,2.31
42,East Hampton,2011,5485,70,1,69,25,165,3.01
43,East Hartford,2011,21328,1577,835,908,0,3320,15.57
44,East Haven,2011,12533,421,254,294,0,969,7.73
45,East Lyme,2011,8458,342,61,78,10,491,5.81
47,East Windsor,2011,5045,558,27,92,14,691,13.70
39,Eastford,2011,793,0,0,16,0,16,2.02
46,Easton,2011,2715,0,33,0,11,44,1.62
48,Ellington,2011,6665,260,6,69,0,335,5.03
49,Enfield,2011,17558,1340,215,546,7,2108,12.01
50,Essex,2011,3261,36,4,8,0,48,1.47
51,Fairfield,2011,21648,241,182,29,117,569,2.63
52,Farmington,2011,11106,456,110,117,154,837,7.54
53,Franklin,2011,771,0,1,15,0,16,2.08
54,Glastonbury,2011,13656,582,49,122,0,753,5.51
55,Goshen,2011,1664,1,1,5,0,7,0.42
56,Granby,2011,4360,85,1,34,5,125,2.87
57,Greenwich,2011,25631,837,359,2,54,1252,4.88
58,Griswold,2011,5118,136,42,140,0,318,6.21
59,Groton,2011,17978,3267,56,337,10,3670,20.41
60,Guilford,2011,9596,168,5,28,0,201,2.09
61,Haddam,2011,3504,22,1,14,0,37,1.06
62,Hamden,2011,25114,684,514,448,4,1650,6.57
63,Hampton,2011,793,0,0,16,0,16,2.02
64,Hartford,2011,51822,9415,7577,1440,0,18432,35.57
65,Hartland,2011,856,2,0,4,0,6,0.70
66,Harwinton,2011,2282,23,1,21,0,45,1.97
67,Hebron,2011,3567,59,3,30,0,92,2.58
68,Kent,2011,1665,48,1,4,24,77,4.62
69,Killingly,2011,7592,530,124,251,0,905,11.92
70,Killingworth,2011,2598,0,1,5,5,11,0.42
71,Lebanon,2011,3125,26,5,47,0,78,2.50
72,Ledyard,2011,5987,32,7,158,0,197,3.29
73,Lisbon,2011,1730,2,0,35,0,37,2.14
74,Litchfield,2011,3975,140,2,11,29,182,4.58
75,Lyme,2011,1223,0,0,2,7,9,0.74
76,Madison,2011,8049,90,1,7,29,127,1.58
77,Manchester,2011,25996,1813,1011,883,36,3743,14.40
78,Mansfield,2011,6017,417,159,76,2,654,10.87
79,Marlborough,2011,2389,24,0,16,0,40,1.67
80,Meriden,2011,25892,1769,970,1022,11,3772,14.57
81,Middlebury,2011,2892,76,3,8,8,95,3.28
82,Middlefield,2011,1863,30,0,10,1,41,2.20
83,Middletown,2011,21223,2814,1295,590,25,4724,22.26
84,Milford,2011,23074,822,285,212,85,1404,6.08
85,Monroe,2011,6918,35,1,18,1,55,0.80
86,Montville,2011,7407,81,30,177,0,288,3.89
87,Morris,2011,1314,20,2,0,0,22,1.67
88,Naugatuck,2011,13061,492,273,301,0,1066,8.16
89,New Britain,2011,31226,3183,1457,1153,396,6189,19.82
90,New Canaan,2011,7551,140,10,2,31,183,2.42
91,New Fairfield,2011,5593,0,0,22,13,35,0.63
92,New Hartford,2011,2923,12,0,36,15,63,2.16
93,New Haven,2011,54967,8210,6116,1127,487,15940,29.00
95,New London,2011,11840,1672,155,457,69,2353,19.87
96,New Milford,2011,11731,233,221,107,16,577,4.92
94,Newington,2011,13011,426,84,366,36,912,7.01
97,Newtown,2011,10061,134,4,20,15,173,1.72
98,Norfolk,2011,967,28,0,3,0,31,3.21
99,North Branford,2011,5629,62,8,52,0,122,2.17
100,North Canaan,2011,1587,101,0,7,0,108,6.81
101,North Haven,2011,9491,343,29,74,1,447,4.71
102,North Stonington,2011,2306,0,1,17,0,18,0.78
103,Norwalk,2011,35415,2248,982,238,559,4027,11.37
104,Norwich,2011,18659,1906,707,517,0,3130,16.77
105,Old Lyme,2011,5021,60,1,5,3,69,1.37
106,Old Saybrook,2011,5602,50,5,15,1,71,1.27
107,Orange,2011,5345,46,4,9,0,59,1.10
108,Oxford,2011,4746,36,1,8,0,45,0.95
109,Plainfield,2011,6229,378,225,261,0,864,13.87
110,Plainville,2011,8063,223,24,302,53,602,7.47
111,Plymouth,2011,5109,179,5,142,0,326,6.38
112,Pomfret,2011,1684,32,2,11,0,45,2.67
113,Portland,2011,4077,185,91,48,0,324,7.95
114,Preston,2011,2019,40,3,34,0,77,3.81
115,Prospect,2011,3474,0,4,22,0,26,0.75
116,Putnam,2011,4299,383,64,101,0,548,12.75
117,Redding,2011,3811,0,0,0,0,0,0.00
118,Ridgefield,2011,9420,179,0,8,20,207,2.20
119,Rocky Hill,2011,8843,236,23,173,0,432,4.89
120,Roxbury,2011,1167,19,0,1,0,20,1.71
121,Salem,2011,1635,1,0,25,0,26,1.59
122,Salisbury,2011,2593,16,0,4,10,30,1.16
123,Scotland,2011,680,0,0,9,0,9,1.32
124,Seymour,2011,6968,262,25,83,0,370,5.31
125,Sharon,2011,1775,20,1,4,0,25,1.41
126,Shelton,2011,16146,254,16,83,82,435,2.69
127,Sherman,2011,1831,0,1,1,0,2,0.11
128,Simsbury,2011,9123,241,12,58,0,311,3.41
129,Somers,2011,3479,54,7,16,0,77,2.21
132,South Windsor,2011,10243,427,53,235,0,715,6.98
130,Southbury,2011,9091,89,2,12,0,103,1.13
131,Southington,2011,17447,609,41,281,51,982,5.63
133,Sprague,2011,1248,20,9,30,0,59,4.73
134,Stafford,2011,5124,178,12,140,0,330,6.44
135,Stamford,2011,50573,4618,1645,309,1221,7793,15.41
136,Sterling,2011,1511,0,3,21,9,33,2.18
137,Stonington,2011,9467,296,16,49,0,361,3.81
138,Stratford,2011,21091,524,365,259,33,1181,5.60
139,Suffield,2011,5469,212,0,41,15,268,4.90
140,Thomaston,2011,3276,105,3,83,0,191,5.83
141,Thompson,2011,4171,150,12,54,0,216,5.18
142,Tolland,2011,5451,97,2,69,3,171,3.14
143,Torrington,2011,16761,1082,301,611,17,2011,12.00
144,Trumbull,2011,13157,315,13,35,274,637,4.84
145,Union,2011,388,0,0,6,0,6,1.55
146,Vernon,2011,13896,1386,519,352,12,2269,16.33
147,Voluntown,2011,1127,20,2,21,0,43,3.82
148,Wallingford,2011,18945,482,141,299,35,957,5.05
149,Warren,2011,811,0,0,2,0,2,0.25
150,Washington,2011,2124,14,0,0,23,37,1.74
151,Waterbury,2011,47991,4870,3110,2256,333,10569,22.02
152,Waterford,2011,8634,123,13,192,0,328,3.80
153,Watertown,2011,9096,206,19,134,0,359,3.95
155,West Hartford,2011,26396,541,942,304,282,2069,7.84
156,West Haven,2011,22446,1024,1380,415,0,2819,12.56
154,Westbrook,2011,3937,140,7,13,24,184,4.67
157,Weston,2011,3674,0,1,0,0,1,0.03
158,Westport,2011,10399,245,20,2,15,282,2.71
159,Wethersfield,2011,11677,625,127,216,0,968,8.29
160,Willington,2011,2637,160,4,32,0,196,7.43
161,Wilton,2011,6475,84,4,7,70,165,2.55
162,Winchester,2011,5613,316,248,116,0,680,12.11
163,Windham,2011,9570,1692,560,427,0,2679,27.99
164,Windsor,2011,11767,154,245,379,0,778,6.61
165,Windsor Locks,2011,5429,137,149,182,0,468,8.62
166,Wolcott,2011,6276,312,4,121,0,437,6.96
167,Woodbridge,2011,3478,30,5,6,0,41,1.18
168,Woodbury,2011,4564,60,4,19,0,83,1.82
169,Woodstock,2011,3582,24,3,39,0,66,1.84
1,Andover,2021,1317,24,1,29,0,54,4.10
2,Ansonia,2021,8148,366,799,138,0,1303,15.99
3,Ashford,2021,1903,32,0,32,0,64,3.36
4,Avon,2021,7389,244,21,36,1,302,4.09
5,Barkhamsted,2021,1589,0,5,21,0,26,1.64
6,Beacon Falls,2021,2509,0,4,38,0,42,1.67
7,Berlin,2021,8140,556,50,124,4,734,9.02
8,Bethany,2021,2044,0,2,11,0,13,0.64
9,Bethel,2021,7310,192,30,132,87,441,6.03
10,Bethlehem,2021,1575,24,0,5,0,29,1.84
11,Bloomfield,2021,9019,574,114,303,0,991,10.99
12,Bolton,2021,2015,0,2,29,0,31,1.54
13,Bozrah,2021,1059,0,3,27,0,30,2.83
14,Branford,2021,13972,243,73,152,9,477,3.41
15,Bridgeport,2021,57012,6949,4351,815,19,12134,21.28
16,Bridgewater,2021,881,0,0,1,0,1,0.11
17,Bristol,2021,27011,2006,950,1031,0,3987,14.76
18,Brookfield,2021,6562,155,22,97,77,351,5.35
19,Brooklyn,2021,3235,232,10,63,0,305,9.43
20,Burlington,2021,3389,27,0,44,0,71,2.10
21,Canaan,2021,779,1,3,4,1,9,1.16
22,Canterbury,2021,2043,76,1,61,0,138,6.75
23,Canton,2021,4339,251,31,48,32,362,8.34
24,Chaplin,2021,988,0,2,35,0,37,3.74
25,Cheshire,2021,10424,258,23,88,17,386,3.70
26,Chester,2021,1923,23,4,15,0,42,2.18
27,Clinton,2021,6065,105,8,60,0,173,2.85
28,Colchester,2021,6182,364,37,132,4,537,8.69
29,Colebrook,2021,722,0,1,6,1,8,1.11
30,Columbia,2021,2308,24,2,57,0,83,3.60
31,Cornwall,2021,1007,28,2,6,0,36,3.57
32,Coventry,2021,5099,103,4,120,20,247,4.84
33,Cromwell,2021,6001,212,9,173,0,394,6.57
34,Danbury,2021,31154,1652,1258,465,221,3596,11.54
35,Darien,2021,7074,161,14,2,104,281,3.97
36,Deep River,2021,2096,26,6,32,0,64,3.05
37,Derby,2021,5849,275,314,102,0,691,11.81
38,Durham,2021,2694,36,1,26,0,63,2.34
40,East Granby,2021,2152,72,2,42,0,116,5.39
41,East Haddam,2021,4508,73,2,59,0,134,2.97
42,East Hampton,2021,5485,64,7,83,25,179,3.26
43,East Hartford,2021,21328,1593,809,964,0,3366,15.78
44,East Haven,2021,12533,542,167,274,0,983,7.84
45,East Lyme,2021,8458,396,19,86,19,520,6.15
47,East Windsor,2021,5045,559,37,102,0,698,13.84
39,Eastford,2021,793,0,0,10,0,10,1.26
46,Easton,2021,2715,0,0,3,15,18,0.66
48,Ellington,2021,6665,260,5,104,0,369,5.54
49,Enfield,2021,17558,1360,221,592,7,2180,12.42
50,Essex,2021,3261,75,2,16,16,109,3.34
51,Fairfield,2021,21648,231,139,56,182,608,2.81
52,Farmington,2021,11106,470,115,128,155,868,7.82
53,Franklin,2021,771,27,2,19,0,48,6.23
54,Glastonbury,2021,13656,604,49,108,2,763,5.59
55,Goshen,2021,1664,1,1,4,0,6,0.36
56,Granby,2021,4360,85,2,46,5,138,3.17
57,Greenwich,2021,25631,879,458,13,38,1388,5.42
58,Griswold,2021,5118,222,57,144,0,423,8.26
59,Groton,2021,17978,3727,103,335,10,4175,23.22
60,Guilford,2021,9596,186,10,32,0,228,2.38
61,Haddam,2021,3504,22,1,27,0,50,1.43
62,Hamden,2021,25114,1048,818,473,4,2343,9.33
63,Hampton,2021,793,0,1,11,0,12,1.51
64,Hartford,2021,51822,10733,8723,1441,0,20897,40.32
65,Hartland,2021,856,2,0,6,0,8,0.93
66,Harwinton,2021,2282,22,6,34,5,67,2.94
67,Hebron,2021,3567,58,3,44,0,105,2.94
68,Kent,2021,1665,58,4,4,0,66,3.96
69,Killingly,2021,7592,467,152,167,0,786,10.35
70,Killingworth,2021,2598,0,0,16,5,21,0.81
71,Lebanon,2021,3125,26,3,76,0,105,3.36
72,Ledyard,2021,5987,32,12,210,6,260,4.34
73,Lisbon,2021,1730,2,0,58,0,60,3.47
74,Litchfield,2021,3975,140,3,30,19,192,4.83
75,Lyme,2021,1223,0,0,5,8,13,1.06
76,Madison,2021,8049,90,3,9,33,135,1.68
77,Manchester,2021,25996,1871,979,872,32,3754,14.44
78,Mansfield,2021,6017,175,128,80,2,385,6.40
79,Marlborough,2021,2389,24,0,24,0,48,2.01
80,Meriden,2021,25892,1976,1360,956,11,4303,16.62
81,Middlebury,2021,2892,77,5,18,20,120,4.15
82,Middlefield,2021,1863,30,3,18,1,52,2.79
83,Middletown,2021,21223,3116,1129,486,25,4756,22.41
84,Milford,2021,23074,728,244,168,74,1214,5.26
85,Monroe,2021,6918,35,5,44,8,92,1.33
86,Montville,2021,7407,81,54,247,0,382,5.16
87,Morris,2021,1314,20,3,5,0,28,2.13
88,Naugatuck,2021,13061,493,305,344,0,1142,8.74
89,New Britain,2021,31226,3017,1583,1109,100,5809,18.60
90,New Canaan,2021,7551,175,19,5,21,220,2.91
91,New Fairfield,2021,5593,0,2,53,17,72,1.29
92,New Hartford,2021,2923,12,3,47,15,77,2.63
93,New Haven,2021,54967,9652,7142,891,457,18142,33.01
95,New London,2021,11840,1600,490,475,101,2666,22.52
96,New Milford,2021,11731,319,41,153,20,533,4.54
94,Newington,2021,13011,531,128,437,36,1132,8.70
97,Newtown,2021,10061,134,7,80,32,253,2.51
98,Norfolk,2021,967,21,1,5,0,27,2.79
99,North Branford,2021,5629,62,14,45,0,121,2.15
100,North Canaan,2021,1587,148,0,14,0,162,10.21
101,North Haven,2021,9491,393,51,85,23,552,5.82
102,North Stonington,2021,2306,0,1,21,6,28,1.21
103,Norwalk,2021,35415,2245,1546,385,667,4843,13.67
104,Norwich,2021,18659,2296,796,516,0,3608,19.34
105,Old Lyme,2021,5021,64,2,14,3,83,1.65
106,Old Saybrook,2021,5602,52,15,21,73,161,2.87
107,Orange,2021,5345,46,10,10,6,72,1.35
108,Oxford,2021,4746,36,3,26,0,65,1.37
109,Plainfield,2021,6229,377,196,191,4,768,12.33
110,Plainville,2021,8063,205,46,282,22,555,6.88
111,Plymouth,2021,5109,178,20,174,0,372,7.28
112,Pomfret,2021,1684,32,2,13,0,47,2.79
113,Portland,2021,4077,185,90,64,0,339,8.31
114,Preston,2021,2019,40,5,38,0,83,4.11
115,Prospect,2021,3474,0,4,43,45,92,2.65
116,Putnam,2021,4299,413,63,70,0,546,12.70
117,Redding,2021,3811,0,2,15,0,17,0.45
118,Ridgefield,2021,9420,175,6,26,79,286,3.04
119,Rocky Hill,2021,8843,235,62,157,0,454,5.13
120,Roxbury,2021,1167,19,0,5,0,24,2.06
121,Salem,2021,1635,0,4,30,0,34,2.08
122,Salisbury,2021,2593,24,0,2,14,40,1.54
123,Scotland,2021,680,0,1,28,0,29,4.26
124,Seymour,2021,6968,262,29,98,0,389,5.58
125,Sharon,2021,1775,32,1,3,0,36,2.03
126,Shelton,2021,16146,254,40,118,82,494,3.06
127,Sherman,2021,1831,0,1,6,0,7,0.38
128,Simsbury,2021,9123,289,63,86,0,438,4.80
129,Somers,2021,3479,146,7,33,0,186,5.35
