Town Code,Town,Year,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
35,Darien,2013,7074,83,6,1,95,185,2.62
36,Deep River,2013,2096,26,5,27,0,58,2.77
37,Derby,2013,5849,259,307,68,0,634,10.84
38,Durham,2013,2694,34,1,21,0,56,2.08
40,East Granby,2013,2152,72,4,37,0,113,5.25
41,East Haddam,2013,4508,73,0,42,1,116,2.57
42,East Hampton,2013,5485,70,5,100,25,200,3.65
43,East Hartford,2013,21328,1578,1024,950,0,3552,16.65
44,East Haven,2013,12533,422,128,307,0,857,6.84
45,East Lyme,2013,8458,344,8,102,19,473,5.59
47,East Windsor,2013,5045,558,49,127,14,748,14.83
39,Eastford,2013,793,0,0,25,0,25,3.15
46,Easton,2013,2715,0,0,0,11,11,0.41
48,Ellington,2013,6665,260,8,125,0,393,5.90
49,Enfield,2013,17558,1340,215,581,7,2143,12.21
50,Essex,2013,3261,36,6,13,0,55,1.69
51,Fairfield,2013,21648,241,181,34,116,572,2.64
52,Farmington,2013,11106,469,110,124,155,858,7.73
53,Franklin,2013,771,0,1,20,0,21,2.72
54,Glastonbury,2013,13656,582,47,124,2,755,5.53
55,Goshen,2013,1664,1,0,7,0,8,0.48
56,Granby,2013,4360,85,2,60,5,152,3.49
57,Greenwich,2013,25631,837,421,2,54,1314,5.13
58,Griswold,2013,5118,153,41,222,0,416,8.13
59,Groton,2013,17978,3267,52,361,10,3690,20.53
60,Guilford,2013,9596,168,6,42,0,216,2.25
61,Haddam,2013,3504,22,1,21,0,44,1.26
62,Hamden,2013,25114,685,523,477,4,1689,6.73
63,Hampton,2013,793,0,0,32,0,32,4.04
64,Hartford,2013,51822,9540,8525,1523,0,19588,37.80
65,Hartland,2013,856,2,0,10,0,12,1.40
66,Harwinton,2013,2282,22,0,35,0,57,2.50
67,Hebron,2013,3567,59,3,46,0,108,3.03
68,Kent,2013,1665,24,0,4,0,28,1.68
69,Killingly,2013,7592,530,125,479,0,1134,14.94
70,Killingworth,2013,2598,0,2,10,5,17,0.65
71,Lebanon,2013,3125,26,4,79,0,109,3.49
72,Ledyard,2013,5987,32,6,226,0,264,4.41
73,Lisbon,2013,1730,2,0,64,0,66,3.82
74,Litchfield,2013,3975,140,1,16,29,186,4.68
75,Lyme,2013,1223,0,0,2,8,10,0.82
76,Madison,2013,8049,90,1,10,29,130,1.62
77,Manchester,2013,25996,1833,1074,925,36,3868,14.88
78,Mansfield,2013,6017,417,153,108,2,680,11.30
79,Marlborough,2013,2389,24,0,29,0,53,2.22
80,Meriden,2013,25892,1745,1012,1065,11,3833,14.80
81,Middlebury,2013,2892,76,4,20,8,108,3.73
82,Middlefield,2013,1863,30,1,12,1,44,2.36
83,Middletown,2013,21223,2859,1467,614,25,4965,23.39
84,Milford,2013,23074,822,277,220,107,1426,6.18
85,Monroe,2013,6918,32,1,25,1,59,0.85
86,Montville,2013,7407,81,30,262,0,373,5.04
87,Morris,2013,1314,20,2,1,0,23,1.75
88,Naugatuck,2013,13061,493,293,311,0,1097,8.40
89,New Britain,2013,31226,3266,1627,1192,382,6467,20.71
90,New Canaan,2013,7551,162,10,2,31,205,2.71
91,New Fairfield,2013,5593,0,0,36,13,49,0.88
92,New Hartford,2013,2923,12,1,42,15,70,2.39
93,New Haven,2013,54967,8261,6232,1188,605,16286,29.63
95,New London,2013,11840,1672,144,482,83,2381,20.11
96,New Milford,2013,11731,233,259,172,16,680,5.80
94,Newington,2013,13011,425,105,390,36,956,7.35
97,Newtown,2013,10061,134,2,35,15,186,1.85
98,Norfolk,2013,967,28,0,3,0,31,3.21
99,North Branford,2013,5629,62,7,62,0,131,2.33
100,North Canaan,2013,1587,101,0,8,0,109,6.87
101,North Haven,2013,9491,343,28,76,1,448,4.72
102,North Stonington,2013,2306,0,1,28,0,29,1.26
103,Norwalk,2013,35415,2299,957,261,599,4116,11.62
104,Norwich,2013,18659,1972,728,550,0,3250,17.42
105,Old Lyme,2013,5021,60,1,11,3,75,1.49
106,Old Saybrook,2013,5602,50,5,18,19,92,1.64
107,Orange,2013,5345,46,4,10,6,66,1.23
108,Oxford,2013,4746,36,1,14,0,51,1.07
109,Plainfield,2013,6229,378,224,386,0,988,15.86
110,Plainville,2013,8063,242,25,311,22,600,7.44
111,Plymouth,2013,5109,179,5,179,0,363,7.11
112,Pomfret,2013,1684,32,2,28,0,62,3.68
113,Portland,2013,4077,185,92,62,0,339,8.31
114,Preston,2013,2019,40,4,47,0,91,4.51
115,Prospect,2013,3474,0,4,34,0,38,1.09
116,Putnam,2013,4299,383,79,200,0,662,15.40
117,Redding,2013,3811,0,0,0,0,0,0.00
118,Ridgefield,2013,9420,179,0,9,42,230,2.44
119,Rocky Hill,2013,8843,236,29,179,0,444,5.02
120,Roxbury,2013,1167,19,0,2,0,21,1.80
121,Salem,2013,1635,1,0,34,0,35,2.14
122,Salisbury,2013,2593,16,1,7,10,34,1.31
123,Scotland,2013,680,0,0,16,0,16,2.35
124,Seymour,2013,6968,262,16,103,0,381,5.47
125,Sharon,2013,1775,20,0,4,0,24,1.35
126,Shelton,2013,16146,254,21,87,82,444,2.75
127,Sherman,2013,1831,0,1,3,0,4,0.22
128,Simsbury,2013,9123,241,11,62,0,314,3.44
129,Somers,2013,3479,146,7,29,0,182,5.23
132,South Windsor,2013,10243,427,54,239,0,720,7.03
130,Southbury,2013,9091,89,2,23,0,114,1.25
131,Southington,2013,17447,609,42,295,51,997,5.71
133,Sprague,2013,1248,20,9,35,0,64,5.13
